joint,angle_bin_deg,samples,source_curves,angle_deg,shape_factor,shape_factor_q25,shape_factor_q75,reference_rate_per_command,direction,universal_rate_per_command,shape_factor_raw,universal_rate_per_command_raw
arm,120.0,50,6,120.043915,1.2426533320006923,1.2065554546570953,1.2689185853233909,34.21433629166667,0,42.516558995031794,1.2436032775456867,42.549060751367
arm,122.0,41,5,121.871838,1.2652247369656358,1.2297304403779619,1.3118286139656168,33.758053,0,42.71152372739699,1.2932364858295518,43.65714583016775
arm,124.0,36,4,123.86992649999999,1.2907933316084175,1.257524450031178,1.320760740392062,33.1400115,0,42.77690585362627,1.291795694827615,42.81012418223765
arm,126.0,28,3,126.086067,1.320273914905454,1.2901170022035342,1.3452865754913081,32.521969999999996,0,42.937908652337725,1.3199309308232727,42.92675413430655
arm,128.0,25,3,128.193146,1.3492509087563977,1.2903043887568528,1.3795609730283427,32.521969999999996,0,43.8802975770483,1.2968693545943681,42.176746244037396
arm,130.0,14,2,130.00095375,1.374527189635421,1.3166450600909407,1.4146093127704726,30.211419125,0,41.52641702478406,1.3656271864307068,41.2575352977526
arm,132.0,18,2,132.0136565,1.4025629798658037,1.4512274069660405,1.5180057535746472,33.596294791666665,0,47.120919335449976,1.4846165802703437,49.87761628335852
arm,134.0,22,3,133.839722,1.4273176496824107,1.3832233854622056,1.4747259849910879,32.521969999999996,0,46.419181783441864,1.428775639489281,46.46659848420121
arm,136.0,26,3,135.941666,1.4543012488822549,1.4773614140724851,1.5670784863870337,32.521969999999996,0,47.29674158711122,1.5360633803931887,49.955807175245866
arm,138.0,21,3,138.1120455,1.479822019954107,1.6351651285131585,1.7042186472392062,32.521969999999996,0,48.12672733828686,1.6780153926438701,54.57236625910216
arm,140.0,22,3,140.10813100000001,1.5008311012856455,1.5562234281027503,1.6376949649687376,32.521969999999996,0,48.809984051078715,1.610854009892685,52.3881457841096
boom,-48.0,59,3,-48.042461,1.2663295687455007,1.274386296762001,1.386390095438085,13.32856875,0,16.878360717182257,1.385070883923677,18.4610125
boom,-46.0,62,3,-46.024994,1.2541466297113404,1.3069209613223665,1.3429560978682664,13.32856875,0,16.715979576688394,1.3118127756667426,17.484586767602508
boom,-44.0,70,4,-43.9817515,1.2403424443332838,1.1956846365781537,1.2944835341639258,14.446001875,0,17.9179892764807,1.2497592497426027,18.054024465080232
boom,-42.0,78,4,-41.923781250000005,1.224924324625679,1.2626690662842175,1.355620539774362,14.446001875,0,17.695259090275666,1.2902681482776117,18.63921608927116
boom,-40.0,90,4,-40.011082,1.2092945763788086,1.2281525268989824,1.272305790025191,14.446001875,0,17.4694717177956,1.240230035360027,17.916365416242268
boom,-38.0,96,5,-37.9566365,1.19128655163915,1.2201356953648903,1.321538719365703,15.563435,0,18.540510812810055,1.2503288510654942,19.4594118021825
boom,-36.0,122,6,-35.950122750000006,1.172759895656767,1.1470713554035856,1.2335769491595068,15.620879166666668,0,18.31954062156697,1.1758309295681317,18.367512871213133
boom,-34.0,124,6,-34.0093155,1.1543049458630192,1.1470737075167547,1.2282105237549936,15.620879166666668,0,18.031258080811934,1.1793352458027428,18.42225337167578
boom,-32.0,130,6,-32.0160995,1.135204730956518,1.1066405753062407,1.1636025032824668,15.620879166666668,0,17.732895931700114,1.1339807700917242,17.71377658692644
boom,-30.0,132,6,-30.0011805,1.1161600006217336,1.0825305075001705,1.1299476658721357,15.620879166666668,0,17.435400500378694,1.101448026977185,17.205586537774014
boom,-28.0,135,6,-28.00269475,1.097901562256475,1.0753680617850745,1.091456834730631,15.620879166666668,0,17.150187640902956,1.0817076629258149,16.897224696221553
boom,-26.0,136,6,-25.993172,1.0804629378826827,1.0563395248918899,1.0936351430412912,15.620879166666668,0,16.87778099672706,1.069290829857711,16.703262847232033
boom,-24.0,142,6,-23.96415125,1.063979216250873,1.0404719947789276,1.0572846266081724,15.620879166666668,0,16.62029077289959,1.0480883248439659,16.372061078381673
boom,-22.0,140,6,-21.999308,1.049176513520586,1.0465115855026188,1.082137444237023,15.620879166666668,0,16.38905954220969,1.051032361300518,16.418049516131735
boom,-20.0,142,6,-20.003519,1.0353187528444638,1.0047565672945045,1.0420577134239135,15.620879166666668,0,16.172589137167403,1.027659962994722,16.052952106361694
