joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,0.8,-1,102.0,8,101.8012045,33.590477,41.98809625
arm,0.8,-1,104.0,9,103.818008,35.194309,43.99288624999999
arm,0.8,-1,106.0,9,106.087685,33.420753,41.775941249999995
arm,0.8,-1,108.0,8,108.23799149999999,37.8931675,47.36645937499999
arm,0.8,-1,110.0,7,109.943375,35.203896,44.00487
arm,0.8,-1,112.0,9,112.132423,38.458305,48.07288125
arm,0.8,-1,114.0,6,114.10220699999999,37.663176,47.07897
arm,0.8,-1,118.0,9,117.962425,36.913246,46.1415575
arm,0.8,-1,120.0,7,120.178276,37.616295,47.020368749999996
arm,0.8,-1,122.0,8,121.871838,39.897251499999996,49.87156437499999
arm,0.8,1,48.0,1,48.727825,33.358868,41.698585
arm,0.8,1,50.0,8,49.974621,32.087441999999996,40.1093025
arm,0.8,1,52.0,11,52.104984,30.187735,37.73466875
arm,0.8,1,54.0,9,54.144779,27.846901,34.808626249999996
arm,0.8,1,56.0,10,55.81678,26.3988125,32.998515624999996
arm,0.8,1,58.0,12,58.006006,25.1546965,31.443370625
arm,0.8,1,60.0,12,60.019695,23.8631945,29.828993124999997
arm,0.8,1,62.0,14,62.0518,22.1644335,27.705541875
arm,0.8,1,64.0,12,64.1550905,20.948358499999998,26.185448125
arm,0.8,1,66.0,14,66.025822,19.8608665,24.826083124999997
arm,0.8,1,68.0,15,68.02137,18.660997,23.326246249999997
arm,0.8,1,70.0,16,69.9744645,17.9641725,22.455215625
arm,0.8,1,72.0,17,72.121346,16.912697,21.14087125
arm,0.8,1,74.0,17,73.917297,16.401955,20.50244375
arm,0.8,1,78.0,13,78.000443,23.0107,28.763375
arm,0.8,1,80.0,13,79.942726,22.313389,27.89173625
arm,0.8,1,82.0,12,82.0114555,22.7909155,28.488644375
arm,0.8,1,84.0,12,83.98879600000001,23.423274,29.2790925
arm,0.8,1,86.0,12,86.0040015,23.7062805,29.632850624999996
arm,0.8,1,88.0,12,88.1055185,24.3099605,30.387450624999996
arm,0.8,1,90.0,11,89.988625,25.24457,31.5557125
arm,0.8,1,92.0,12,92.015186,24.461725,30.57715625
arm,0.8,1,94.0,11,93.91806,24.694035,30.86754375
arm,0.8,1,96.0,11,96.072411,25.236128,31.54516
arm,0.8,1,98.0,11,97.94735,26.017576,32.521969999999996
arm,0.8,1,100.0,11,99.88797,25.784599,32.23074875
arm,0.8,1,102.0,11,102.059372,24.842649,31.05331125
arm,0.8,1,104.0,11,103.997726,27.218523,34.02315375
arm,0.8,1,106.0,10,106.08805100000001,27.33885,34.1735625
arm,0.8,1,108.0,10,107.899811,28.626663,35.783328749999995
arm,0.8,1,110.0,11,110.079765,28.067825,35.08478125
arm,0.8,1,112.0,9,111.98735,27.311636,34.139545
arm,0.8,1,114.0,12,114.0505065,26.9365145,33.670643125
arm,0.8,1,116.0,9,115.92482,24.934664,31.16833
arm,0.8,1,120.0,9,119.777924,27.473623,34.34202875
arm,0.8,1,122.0,9,122.035652,31.401567,39.25195875
arm,0.8,1,124.0,9,123.895378,32.953411,41.19176375
arm,0.8,1,126.0,9,126.086067,32.790031,40.98753875
arm,0.8,1,128.0,9,128.193146,33.399788,41.749735
arm,0.8,1,130.0,6,130.1198885,38.0791015,47.598876875
arm,0.8,1,132.0,9,131.947235,36.888714,46.1108925
arm,0.8,1,134.0,6,133.91592400000002,39.564312,49.45539
arm,0.8,1,136.0,9,135.940002,36.91008,46.1376
arm,0.8,1,138.0,6,138.1120455,41.428173,51.785216250000005
arm,0.8,1,140.0,6,139.7448425,39.067806000000004,48.834757499999995
arm,1.0,-1,32.0,7,32.181446,36.979347,36.979347
arm,1.0,-1,34.0,8,33.9995955,36.884762,36.884762
arm,1.0,-1,36.0,7,36.091988,35.831055,35.831055
arm,1.0,-1,38.0,8,37.786865,35.823389000000006,35.823389000000006
arm,1.0,-1,40.0,9,40.151279,34.701157,34.701157
arm,1.0,-1,42.0,9,42.235714,33.749107,33.749107
arm,1.0,-1,44.0,7,44.070374,33.933739,33.933739
arm,1.0,-1,46.0,9,45.897217,33.758053,33.758053
arm,1.0,-1,48.0,8,47.9158515,33.499176,33.499176
arm,1.0,-1,50.0,9,50.059013,32.8638,32.8638
arm,1.0,-1,52.0,9,52.078018,32.269768,32.269768
arm,1.0,-1,54.0,9,54.192753,32.454639,32.454639
arm,1.0,-1,56.0,9,56.133564,31.331343,31.331343
arm,1.0,-1,58.0,9,58.092327,32.518501,32.518501
arm,1.0,-1,60.0,9,60.160618,31.931799,31.931799
arm,1.0,-1,62.0,9,62.086514,31.621799,31.621799
arm,1.0,-1,64.0,9,64.192039,31.32053,31.32053
arm,1.0,-1,66.0,9,66.074631,32.145241,32.145241
arm,1.0,-1,68.0,9,67.996864,31.083933,31.083933
arm,1.0,-1,70.0,9,70.03125,30.985134,30.985134
arm,1.0,-1,72.0,9,71.963432,31.835011,31.835011
arm,1.0,-1,74.0,9,74.01519,30.974373,30.974373
arm,1.0,-1,76.0,9,76.010674,32.422859,32.422859
arm,1.0,-1,78.0,9,77.912636,31.478355,31.478355
arm,1.0,-1,80.0,9,79.890762,31.790871,31.790871
arm,1.0,-1,82.0,9,81.9384,32.123905,32.123905
arm,1.0,-1,84.0,9,83.870659,32.830086,32.830086
arm,1.0,-1,86.0,9,86.098366,33.496368,33.496368
arm,1.0,-1,88.0,9,88.055954,33.317795,33.317795
arm,1.0,-1,90.0,8,90.120529,34.33381850000001,34.33381850000001
arm,1.0,-1,92.0,7,91.781799,34.152691,34.152691
arm,1.0,-1,94.0,9,93.763916,35.577072,35.577072
arm,1.0,-1,96.0,9,96.056648,35.646729,35.646729
arm,1.0,-1,98.0,9,98.177116,36.293766,36.293766
arm,1.0,-1,100.0,6,100.09857550000001,37.9037265,37.9037265
arm,1.0,-1,102.0,9,102.088661,36.837566,36.837566
